Course Code,Course Title,Duration (min),Instructors,Days,Start Time,End Time,Enrollment,Class Venues
CLCA 2133-LEC 1,and Divan,110,Fatima Fayyaz,TR,1:30 PM,3:20 PM,50,Acad Block MCB Acad Block A-13
CLCA 2523-LEC 1,Introduction to Illustrative Storytelling,110,Mahnoor Azeem,MW,10:00 AM,11:50 AM,25,Acad Block A-10
CLCA 3211-LEC 1,Seminar,110,Zebunnisa Hamid,TR,12:00 PM,1:50 PM,37,Acad Block A-9
CLCA 3324-LEC 1,The Craft of Translation,110,Bilal Tanweer,TR,2:00 PM,3:50 PM,37,Acad Block A-9
CLCA 3325-LEC 1,Life Writing and the Multilingual Self,110,Usama Mumtaz Lali,MW,8:00 AM,9:50 AM,37,Acad Block A-3
CS 200-LEC 1,Introduction to Programming,75,Muhammad Saqib Ilyas,MW,10:00 AM,11:15 AM,190,SDSB B-3
CS 200-LEC 2,Introduction to Programming,75,Muhammad Saqib Ilyas,TR,10:00 AM,11:15 AM,230,SDSB B-3
CS 202-LEC 1,Data Structures,75,Waqar Ahmad,TR,10:00 AM,11:15 AM,100,SBASSE 10-301
CS 210-LEC 1,Discrete Mathematics,110,Malik Jahan Khan,TR,1:00 PM,2:50 PM,150,SBASSE 10-201
CS 210-LEC 2,Discrete Mathematics,110,Malik Jahan Khan,TR,3:00 PM,4:50 PM,150,SBASSE 9-B2
CS 225-LEC 1,Fundamentals of Computer Systems,110,Ikram,TR,8:00 AM,9:50 AM,150,Acad Block MCB Acad Block A-13
CS 310-LEC 1,Algorithms,75,Imdad ullah khan,TR,1:30 PM,2:45 PM,230,SBASSE 9-B2
CS 334-LEC 1,Science,75,Ihsan Ayyub Qazi,TR,12:00 PM,1:15 PM,250,SDSB B-3
CS 340-LEC 1,Databases,75,Basit Shafiq,MW,9:00 AM,10:15 AM,150,SBASSE 10-201
CS 340-LEC 1,Databases,75,Asim Karim,MW,9:00 AM,10:15 AM,150,SBASSE 10-201
CS 340-LEC 2,Databases,75,Basit Shafiq,TR,9:00 AM,10:15 AM,150,Acad Block SS
CS 340-LEC 2,Databases,75,Asim Karim,TR,9:00 AM,10:15 AM,150,Acad Block SS
CS 370-LEC 1,Operating Systems,75,Alizai,MW,10:00 AM,11:15 AM,150,SBASSE 9-B2
CS 370-LEC 1,Operating Systems,75,Naveed Anwar Bhatti,MW,10:00 AM,11:15 AM,150,SBASSE 9-B2
CS 370-LEC 1,Operating Systems,75,Momina Khan,MW,10:00 AM,11:15 AM,150,SBASSE 9-B2
CS 436-LEC 1,Computer Vision Fundamentals,75,Murtaza Taj,TR,12:00 PM,1:15 PM,125,Acad Block MCB Acad Block A-13
CS 487-LEC 1,Cloud Development,75,Hassan,TR,10:00 AM,11:15 AM,50,SBASSE PRGST
CS 501-LEC 1,Applied Probability,75,Momin Ayub Uppal,TR,3:00 PM,4:15 PM,150,SBASSE 10-201
CS 535-LEC 1,Machine Learning,75,Agha Ali Raza,MW,12:00 PM,1:15 PM,20,SBASSE 10-201
CS 535-LEC 2,Machine Learning,75,Agha Ali Raza,MW,1:30 PM,2:45 PM,20,SBASSE 10-201
CS 582-LEC 1,Distributed Systems,75,Zafar Ayyub Qazi,MW,12:00 PM,1:15 PM,100,Acad Block A-11
CS 682-LEC 1,Security,75,Zaffar,TR,3:00 PM,4:15 PM,25,SAHSOL CR 2-06
DISC 112-LEC 1,Computer and Problem Solving,75,Humbal Tariq,MW,8:00 AM,9:15 AM,55,SDSB 105
DISC 203-LEC 1,Probability and Statistics,75,Ijaz Haider Naqvi,TR,9:30 AM,10:45 AM,55,SDSB B-2
DISC 203-LEC 2,Probability and Statistics,75,Ijaz Haider Naqvi,TR,11:00 AM,12:15 PM,55,SDSB B-2
DISC 203-LEC 3,Probability and Statistics,75,Ijaz Haider Naqvi,TR,12:30 PM,1:45 PM,55,SDSB B-2
DISC 212-LEC 1,Introduction to Management Science,75,Kamran Rashid,MW,9:30 AM,10:45 AM,55,SDSB 201
DISC 212-LEC 2,Introduction to Management Science,75,Kamran Rashid,MW,11:00 AM,12:15 PM,55,SDSB 201
DISC 212-LEC 3,Introduction to Management Science,75,Abid Raza Khan,TR,8:00 AM,9:15 AM,55,SDSB TRDLB
DISC 212-LEC 4,Introduction to Management Science,75,Maheen Aamir Syed,TR,9:30 AM,10:45 AM,55,SDSB TRDLB
DISC 212-LEC 5,Introduction to Management Science,75,Abid Raza Khan,TR,11:00 AM,12:15 PM,55,SDSB TRDLB
DISC 231-LEC 1,Operations Management,75,Hassan Rauf Chaudhry,MW,2:00 PM,3:15 PM,55,SDSB 101
DISC 320-LEC 1,Business,75,Raja Rub Nawaz,MW,3:30 PM,4:45 PM,55,SDSB 101
DISC 321-LEC 1,Decision Analysis,110,Rehman,MW,9:00 AM,10:50 AM,55,SDSB TRDLB
DISC 321-LEC 2,Decision Analysis,110,Rehman,MW,12:30 PM,2:20 PM,55,SDSB TRDLB
DISC 322-LEC 1,Science,75,Kamran Rashid,MW,12:30 PM,1:45 PM,55,SDSB 201
DISC 322-LEC 2,Science,75,Kamran Rashid,MW,2:00 PM,3:15 PM,55,SDSB 201
DISC 323-LEC 1,Decision Behaviour,75,Rehman,TR,2:00 PM,3:15 PM,55,SDSB 201
DISC 323-LEC 3,Decision Behaviour,75,Rehman,TR,12:30 PM,1:45 PM,55,SDSB 201
