Course Code,Section,Duration,Instructors,Class Venues,Days
DISC 322, LEC 1, 1.5, Kamran Rashid, SDSB 201, MW
ECON 247, LEC 1, 2, Hadia Majid, Acad Block A-15, MW
CHEM 721, LEC 1, 1.5, Chotana, Acad Block A-8, MW
CHEM 731, LEC 1, 1.5, Irshad Hussain, Acad Block SS, MW
ENGL 2811, LEC 1, 2, Sadia Zulfiqar, Acad Block A-9, MW
ECON 230, LEC 2, 1.5, Usman Elahi, SDSB B-3, MW
ECON 230, LEC 3, 1.5, Usman Elahi, Acad Block MCB Acad Block A-13, MW
SCI 503, LEC 1, 1.5, Anusheh Attique, SDSB 305, MW
SCI 503, LEC 1, 1.5, Alizai, SDSB 305, MW
MGMT 400, LEC 2, 1.5, Adnan Zahid, SDSB 203, MW
SOC 265, LEC 1, 2, Nida Yasmeen Kirmani, SAHSOL ARDCR 0-07, MW
SOC 334, LEC 1, 2, Umair Javed, SAHSOL SIACR 0-06, MW
PSY 212, LEC 1, 2, Imran Rashid, SAHSOL CR 1-01, MW
LAW 222, LEC 1, 2, Syeda Zehra Zaidi, SAHSOL CR 2-07, MW
CHE 710, LEC 1, 1.5, Shahana Khurshid, SBASSE 10-304, MW
REL 200, LEC 1, 2, Essam Fahim, Acad Block A-4, MW
EDU 325, LEC 1, 1.5, Mehreen Noon, Lib Bldg SOE 03, MW
SS 100, LEC 6, 2, Rizvi, Acad Block A-6, MW
SS 100, LEC 19, 2, Aneeqa Mazhar Wattoo, Acad Block A-16, MW
SS 100, LEC 20, 2, Zainab Sattar, SAHSOL SIACR 0-06, MW
SS 100, LEC 12, 2, Afsheen Salahuddin, SAHSOL MMACR 1-02, MW
SS 100, LEC 22, 2, Farhana Shahzad, Acad Block A-6, MW
SS 100, LEC 11, 2, Zainab Sattar, SAHSOL CR 2-07, MW
SS 100, LEC 8, 2, Huda Imtiaz, SAHSOL CR 2-02, MW
SS 100, LEC 4, 2, Aneeqa Mazhar Wattoo, SAHSOL CR 2-06, MW
SS 100, LEC 15, 2, Uzma Safdar, Acad Block A-14, MW
SS 100, LEC 13, 2, Kaleem Bhatti, Acad Block A-2, MW
GSL 202, LEC 1, 2, Sarah Humayun, Acad Block A-14, MW
