Course Code, Section, Duration, Instructors, Class Venues, Days
FINN 403, LEC 1, 1.5, Talha Farrukh Lib Bldg, LAB-1, TR
CS 225, LEC 1, 2, Ikram, Acad Block MCB Acad Block A-13, TR
CHEM 231, LEC 1, 1.5, Irshad Hussain, SBASSE 10-201, MW
ECON 4102, LEC 1, 2, Hadia Majid, Acad Block A-9, TR
EDU 274, LEC 1, 1.5, Hasham Nasir, Lib Bldg SOE 03, MW
BIO 221, LEC 1, 2, Khurram Bashir, SBASSE 10-302, MW
BIO 221, LEC 1, 2, Muhammad Tariq, SBASSE 10-302, MW
POL 4314, LEC 1, 2, Feyzullah Yilmaz, SAHSOL GHKCR 0-02, MW
CHEM 332, LEC 1, 1.5, Muhammad Saeed, SBASSE 10-202, TR
EE 5216, LEC 1, 1.5, Muhammad Ali Siddiqi, SBASSE 10-204, MW
CHE 352, LEC 1, 1.5, Ali Rauf, SBASSE 10-202, TR
LAW 353, LEC 1, 2, Adnan Sattar, SAHSOL ARDCR 0-07, MW
ENGL 2991, LEC 1, 2, Maria Rehman, SAHSOL CR 2-01, TR
CHEM 324, LEC 1, 1.5, Muhammad Zaheer, SAHSOL CR 2-01, TR
EDU 3203, LEC 1, 1.5, Ayesha Husian, SAHSOL CR 2-02, TR
MKTG 324, LEC 1, 1.5, Komal Zain, SDSB B-1, MW
FINN 200, LEC 1, 1.5, Bushra Naqvi, SDSB 204, MW
FINN 200, LEC 3, 1.5, Ali, SDSB 204, MW
FINN 200, LEC 2, 1.5, Ali, SDSB 204, MW
ECON 221, LEC 2, 2, Daniyal Khan, SAHSOL CR 1-01, TR
ECON 221, LEC 1, 2, Daniyal Khan, SAHSOL CR 1-07, TR
ECON 211, LEC 1, 2, Ayesha Ali, Acad Block A-7, MW
ECON 211, LEC 2, 2, Ayesha Ali, Acad Block A-12, TR
MATH 309, LEC 1, 1.5, Waqas Ali Azhar, SDSB 305, MW
LANG 122, LEC 1, 2, Jahanzeb Baloch, SAHSOL GHKCR 0-02, TR
ANTH 100, LEC 2, 2, Sadaf Ahmad, Acad Block A-12, MW
ENV 102, LEC 1, 2, Maryam Ibrahim, Acad Block A-11, TR
MATH 204, LEC 1, 1.5, Shaheen Nazir, SBASSE 10-302, MW
ECON 233, LEC 1, 2, Lyyla Khalid, SAHSOL CR 1-07, MW
ECON 233, LEC 2, 2, Lyyla Khalid, Acad Block A-5, TR
ENGL 1192, LEC 1, 2, Younis Bin Azeem, SAHSOL CR 1-01, MW
CLCA 2523, LEC 1, 2, Mahnoor Azeem, Acad Block A-10, MW
SS 1303, LEC 1, 2, Sadaf Habib, Acad Block A-10, TR
ENGL 1000, LEC 1, 2, Tom Edward Sewel, SAHSOL SBACR 0-01, TR
PHIL 132, LEC 1, 2, Ahsen, Acad Block A-16, TR
DISC 212, LEC 2, 1.5, Kamran Rashid, SDSB 201, MW
DISC 212, LEC 1, 1.5, Kamran Rashid, SDSB 201, MW
DISC 212, LEC 5, 1.5, Abid Raza Khan, SDSB TRDLB, TR
DISC 212, LEC 4, 1.5, Maheen Aamir Syed, SDSB TRDLB, TR
DISC 212, LEC 3, 1.5, Abid Raza Khan, SDSB TRDLB, TR
LAW 102, LEC 2, 2, Marva Khan, SAHSOL CR 1-07, MW
LANG 127, LEC 2, 2, Samina Arifa, SAHSOL GHKCR 0-02, TR
LANG 127, LEC 1, 2, Samina Arifa, SAHSOL MMACR 1-02, TR
PHIL 203, LEC 1, 2, Syed Sikander Gilani, Acad Block A-1, TR
MGMT 261, LEC 1, 1.5, Ghazal Mir Zulfiqar, Acad Block A-3, TR
POL 100, LEC 3, 2, Maham Nasir, Acad Block A-3, MW
POL 100, LEC 2, 2, Rida Ashfaq, Acad Block SS, TR
POL 100, LEC 1, 2, Rida Ashfaq, Acad Block MCB Acad Block A-13, TR
CS 200, LEC 1, 1.5, Muhammad Saqib Ilyas, SDSB B-3, MW
CS 200, LEC 2, 1.5, Muhammad Saqib Ilyas, SDSB B-3, TR
SOC 100, LEC 2, 2, Tania Saeed, SAHSOL SBACR 0-01, MW
FINN 441, LEC 1, 1.5, Saad Azmat, SDSB 204, TR
ACCT 202, LEC 2, 1.5, Abdul Rauf, Acad Block A-4, MW
ACCT 202, LEC 1, 1.5, Abdul Rauf, Acad Block A-4, MW
EDU 218, LEC 1, 1.5, Farah Syed, Lib Bldg SOE 03, TR
ECON 4410, LEC 1, 2, Ijaz Nabi, Acad Block MCB Acad Block A-13, MW
ECON 4410, LEC 1, 2, Nazish Afraz, Acad Block MCB Acad Block A-13, MW
EDU 321, LEC 1, 1.5, Fizza Suhail, Lib Bldg SOE 03, TR
PSY 321, LEC 1, 2, Natasha Sohail Barlas, Acad Block A-1, TR
CLCA 3325, LEC 1, 2, Usama Mumtaz Lali, Acad Block A-3, MW
MATH 222, LEC 1, 1.5, Haniya Azam, Acad Block A-14, TR
EE 5502, LEC 1, 1.5, Nauman Ahmad Zaffar, SBASSE 10-302, MW
EE 5502, LEC 1, 1.5, Naveed Arshad, SBASSE 10-302, MW
MGMT 252, LEC 1, 1.5, Ahsen, Acad Block A-7, MW
CS 535, LEC 2, 1.5, Agha Ali Raza, SBASSE 10-201, MW
CS 535, LEC 1, 1.5, Agha Ali Raza, SBASSE 10-201, MW
MGMT 283, LEC 1, 1.5, Shireen Waheed, SDSB B-2, MW
DISC 335, LEC 1, 1.5, Zaid Saeed Khan, Acad Block A-4, TR
MKTG 302, LEC 1, 1.5, Komal Zain, Acad Block A-4, TR
MKTG 343, LEC 1, 1.5, Muhammad Asim, SDSB TRDLB, TR
LAW 426, LEC 1, 2, Aisha Ahmad, SAHSOL CR 1-06, TR
CHEM 516, LEC 1, 1.5, Salman Noshear Arshad, SBASSE 9-B2, TR
CHE 330, LEC 1, 1.5, Usman Bin Shahid, Acad Block A-5, MW
ECON 262, LEC 1, 2, Mushtaq Ahmad Khan, Acad Block A-12, MW
PHY 101, LEC 1, 1.5, Adam Zaman Chaudhry, SBASSE 9-B2, MW
PHY 101, LEC 2, 1.5, Adam Zaman Chaudhry, SDSB B-3, TR
CLCA 2119, LEC 1, 2, Bilal Tanweer, Acad Block A-7, MW
GSS 264, LEC 1, 2, Maria Amir, Acad Block A-5, TR
SS 233, LEC 1, 2, Syed Javed Nazir, Acad Block A-1, TR
ECON 531, LEC 1, 2, Mushtaq Ahmad Khan, Acad Block A-2, TR
ENV 210, LEC 1, 2, Fazilda Nabeel, SAHSOL CR 1-07, MW
ECON 511, LEC 1, 2, Osama Khan, Acad Block A-2, MW
SOC 253, LEC 1, 2, Basit Bilal Koshul, SAHSOL CR 1-01, TR
ANTH 312, LEC 1, 2, Lukas Albert Paul Werth, SDSB 305, TR
BIO 216, LEC 1, 1.5, Muhammad Shoaib, SBASSE 10-204, MW
BIO 216, LEC 1, 1.5, Muhammad Tariq, SBASSE 10-204, MW
ENGL 2402, LEC 1, 2, Tom Edward Sewel, Acad Block A-9, MW
MATH 4418, LEC 1, 1.5, Reza Abdolmaleki, SBASSE 10-304, MW
CS 370, LEC 1, 1.5, Alizai, SBASSE 9-B2, MW
CS 370, LEC 1, 1.5, Naveed Anwar Bhatti, SBASSE 9-B2, MW
CS 370, LEC 1, 1.5, Momina Khan, SBASSE 9-B2, MW
DISC 231, LEC 1, 1.5, Hassan Rauf Chaudhry, SDSB 101, MW
MATH 341, LEC 1, 1.5, Kamran Rashid, SDSB 201, MW
ORSC 201, LEC 2, 1.5, Faiza Ali, SDSB B-1, MW
ORSC 201, LEC 1, 1.5, Faiza Ali, SDSB 105, MW
ORSC 201, LEC 4, 1.5, Ghulam Ali Arain, SDSB 101, TR
ORSC 201, LEC 3, 1.5, Ghulam Ali Arain, SDSB 203, TR
MGMT 263, LEC 1, 1.5, Rana, SDSB 203, TR
LAW 4304, LEC 1, 2, Marva Khan, SAHSOL CR 1-06, MW
CHE 262, LEC 1, 1.5, Muhammad Faheem, SBASSE 10-304, MW
ECON 449, LEC 1, 2, Khalid Mir, SAHSOL ARDCR 0-07, MW
CHE 210, LEC 1, 1.5, Falak Sher, Acad Block A-5, MW
POL 4112, LEC 1, 2, Mohammad Waseem, Acad Block A-10, MW
POL 3202, LEC 1, 2, Salman Rafi, Acad Block A-5, MW
POL 224, LEC 1, 2, Vito Morisco, Acad Block A-15, MW
FINN 454, LEC 1, 1.5, Syed Kumail Abbas Rizvi, SDSB TRDLB, MW
EE 452, LEC 1, 1.5, Hafsa Qamar, SBASSE 10-202, MW
EE 453, LEC 1, 1.5, Raheel Zafar, SBASSE 10-202, MW
CHE 260, LEC 1, 1.5, Qandeel Almas, SBASSE 10-202, MW
