Course Code,Section,Duration,Instructors,Class Venues,Days
MECO 111, LEC 4, 1.5, Ummad Mazhar, SDSB 204, TR
ECON 111, LEC 2, 1.5, Faisal Bari, SAHSOL CR 1-01, TR
MECO 111, LEC 3, 1.5, Ummad Mazhar, SDSB 204, TR
MATH 5300, LEC 1, 1.5, Sultan Sial, SAHSOL GHKCR 0-02, TR
DISC 203, LEC 3, 1.5, Ijaz Haider Naqvi, SDSB B-2, TR
DISC 203, LEC 2, 1.5, Ijaz Haider Naqvi, SDSB B-2, TR
DISC 203, LEC 1, 1.5, Ijaz Haider Naqvi, SDSB B-2, TR
MGMT 243, LEC 1, 1.5, Mohsin Bashir, Acad Block A-14, TR
MGMT 247, LEC 1, 1.5, Sajid Siddique, SDSB 201, TR
PHY 5114, LEC 1, 1.5, Muhammad Faryad, Acad Block A-8, TR
PHY 404, LEC 1, 1.5, Syed Moeez Hassan, SBASSE 10-202, TR
REL 315, LEC 1, 2, Nauman Faizi, Acad Block A-15, TR
LAW 280, LEC 1, 2, Adnan Sattar, SAHSOL SIACR 0-06, TR
MGMT 242, LEC 3, 1.5, Razi Allah Lone, SDSB B-2, TR
MGMT 242, LEC 2, 1.5, Razi Allah Lone, SDSB B-2, TR
MGMT 242, LEC 1, 1.5, Razi Allah Lone, Acad Block A-3, TR
CS 334, LEC 1, 1.5, Ihsan Ayyub Qazi, SDSB B-3, TR
CS 682, LEC 1, 1.5, Zaffar, SAHSOL CR 2-06, TR
CLCA 3211, LEC 1, 2, Zebunnisa Hamid, Acad Block A-9, TR
CHE 320, LEC 1, 1.5, Tauqeer Abbas, SAHSOL SBACR 0-01, TR
PSY 300, LEC 1, 2, Imran Rashid, SDSB 305, TR
EDU 3207, LEC 1, 1.5, Mariam Haider, Lib Bldg SOE 03, TR
PHY 313, LEC 1, 2, Aeysha Khalique, SBASSE 10-204, TR
ECON 230, LEC 1, 1.5, Rabia Khan, Acad Block A-16, TR
MGMT 400, LEC 1, 1.5, Adnan Zahid, SDSB 203, TR
MGMT 400, LEC 3, 1.5, Salma Zaman, SDSB 203, TR
POL 366, LEC 1, 2, Syed Rashid Munir, SBASSE 10-204, TR
HIST 329, LEC 1, 2, Hassan Haider Karrar, SDSB 205, TR
CLCA 3324, LEC 1, 2, Bilal Tanweer, Acad Block A-9, TR
POL 2214, LEC 1, 2, Farhat Haq, SAHSOL ARDCR 0-07, TR
POL 3302, LEC 1, 2, Syed Rashid Munir, SBASSE 10-204, TR
LAW 338, LEC 1, 2, Raza Saeed SAHSOL, LAW-FACLOU, TR
SS 100, LEC 16, 2, Aamna Khalid, SAHSOL CR 1-06, TR
SS 100, LEC 3, 2, Afsheen Salahuddin, Acad Block A-6, TR
SS 100, LEC 5, 2, Mahrukh Baig, SAHSOL CR 2-07, TR
SS 100, LEC 9, 2, Faiza Asghar Dar, SAHSOL CR 2-02, TR
SS 100, LEC 21, 2, Farhana Shahzad, Acad Block A-6, TR
SS 100, LEC 23, 2, Syed Javed Nazir, SAHSOL CR 2-06, TR
SS 100, LEC 14, 2, Hajra Ikram Butt, SAHSOL CR 1-06, TR
SS 100, LEC 2, 2, Rizvi, SAHSOL CR 2-07, TR
SS 100, LEC 18, 2, Huda Imtiaz, SAHSOL CR 2-06, TR
SS 100, LEC 1, 2, Hajra Ikram Butt, SAHSOL CR 1-06, TR
